,eventClass,hasType,eventName,date,latitude,longitude,hasLocation,hasSubtype,agencyLGUsPresentPreparedness,declarationOfCalamity,evacuationPlan,evacuationCenters,rescueUnit,rescueEquipment,affectedBarangays,dead,injured,missing,affectedFamilies,affectedPersons,displacedFamilies,displacedPersons,totallyDamagedHouses,partiallyDamagedHouses,infraDamageAmount,agricultureDamageAmount,commercialDamageAmount,powerAffected,communicationAffected,roadAndBridgesAffected,seaportsAffected,airportsAffected,areDamsAffected,isTapAffected,allocatedFunds,agencyLGUsPresentAssistance,internationalOrgsPresent,amoungNGOs,itemCostGoods,itemQtyGoods,itemCostWater,itemQtyWater,itemCostClothing,itemQtyClothing,itemCostMedicine,itemQtyMedicine,itemCostOthers1,itemCostOthers2,srrDone,policyChanges,postStructureCost,postTraining,reference,otherDescription,otherDescription,otherDescription,startDate,endDate,id
351,M,Volcanic Activity (General),Volcanoes Monitoring Activity: Kanlaon Volcano,2005-04-07 00:00:00,10° 24.7' N,123° 7.9' E,"La Carlota, Negros Occidental",,PHIVOLCS-DOST,Alert Level 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"OCD. CY 2005 Other Incidents. NDCC Report. May 07, 2018.","Kanlaon Volcano produced a mild ash ejection on April 7, 2005 which generated an ash-cloud that reached a height if 100 meters above the crater. The 4 kilometer radius Permanent Danger Zone (PDZ) is stritcly off-limits because hazardous steam-driven explosions may suddenly occur.",,,2005-04-07,2005-04-07,72529288d8124bfe801158354440a1da
354,I,Water,Report on the Missing Fishermen,2005-03-22 00:00:00,,,"Subic, Zambales",,"CGAG SAR, CGDPAL,  ",,,,,,,,,,,,,,,,,,,,,,,,,,,"CGAG SAR, CGDPAL, Philippine Coast Guard",JICA,,,,,,,,,,,,"Two aircraft and 3 search and rescue vessels from PCG were immediately mobilized on to conduct aerial reconnaissance at the vicinity of Palawan waters. Also sent alert notice to nearby countries such as Vietnam, Taipei, Hongkong, China, and Japan to report any siting of the said missing vessel. An aircraft from JICA was deployed to conduct aerial reconnaissance.",,,,"OCD. CY 2005 Other Incidents. NDCC Report. May 07, 2018.","Four fishing motorized banca departed Subic, Zambales shore on March 22, 2005. Allegedly while on its way back, one of the three small fishing bancas, F/Bca :Ma. Emelyn"" was unleashed while being towed by the mother banca and drifted towards the SW part of Palawan.",,,2005-03-22,2005-03-22,0ec46191b04f4445ab59c1bb47d71d72
355,I,Water,"Daluquin Point, Sta. Maria, Maritime Incident Involving MV Princess of the World of Sulpicio Shipping Lines Inc.",2005-07-07 00:00:00,7° 2.3' N,121°48.99'E,"Sicon, Zamboanga del Norte",,"Philippine Navy, US Navy, Philippine Air Force, Philippine Coast Guard Zamboanga, Private Maritime Group",,,,"Philippine Navy, US NAvy, Philippine Air Force, Philippine Coast Guard Zamboanga, Private Maritime Group, PNP, COMMEL","aircrafts, fishing bancas and other shipping vessels, choppers",,,,,,207,,,,,,,,,,,,,,,,"CSWD, DOH-Stop Death, PNRC teams in Zamboanga",,,,,,,,,,,,,"The responding units and rescue assets involved in the conduct of search and rescue operations were the following: Philippine Navy, US Navy, Philippine Air Force, Philippine Coast Guard Zamboanga, Private Maritime Group",,,,"OCD. CY 2005 Other Incidents. NDCC Report. May 07, 2018.",MV Princess of the WOrld owned by Sulpicio Shipping lines Inc caught fire at the engine room. This occured along the coastal area of Zamboanga del Norte while the ship was enroute from Manila to Zamboanga city. The ill-fated vessel was already abandoned.,,,2005-07-07,2005-07-07,82571199b54044eab17baf2b18a00bcc
356,I,Landslide (Dry),"Landslide in Purok 8, Sitio Balikbayan, Barangay Mayana, Jagna, Bohol",2005-07-11 00:00:00,,,"Jagna, Bohol",,OCDRC-VII,,,,,,1,,,,,50-60,,,10,,"140000; (Residential) - 580,000.00",422500,,,,,,,,,,"PDCC Quick Response Team, MDCC, BDCC",,,,,,,,,,,,,,,,,"OCD. CY 2005 Other Incidents. NDCC Report. May 07, 2018.","A landslide occured on July 11, 2005 around 6 am at Purok 8, Sitio Balikbayan, Brgy. Mayana, Jagna Bohol.",,,2005-07-11,2005-07-11,06e7a64a29a64907b85481dc22e86f55
357,I,Tornado,"Tornado Incident in Barangay Litayen, Bongo Island, Parang, Maguindanao",2005-07-23 00:00:00,,,"Barangay Litayen, Parang, Maguindanao del Norte",,OCDRC-ARMM,,,,,,1,,,,37,,,,37,,,,,,,,,,,,,Municipality Government of Parang,,,,10 sacks of rice,,,,,,,,,,,,,,,,,2005-07-23,2005-07-23,287654b4aa48463191702c8b96c7a48b
358,M,Tropical Cyclone,Tropical Depression Emong,2005-07-06 00:00:00,,,Region 1|2|3|4-B|4-A|5|CAR,,"DCCs, PAGASA",Public Storm Warning Signal No. 1,,,,,,,,,,,,,,,,,,,,,"Due to disturbance, trips going to Catanduanes were suspended with a total of 346 passengers, with 14 vehicles, and 4 sea vessels stranded.",,,,,"DCCs, RDCCs",,,,,,,,,,,,,,,,,,,,,2005-07-06,2005-07-06,cb5039e04276409bad1c4aa17c034b73
375,M,Tropical Cyclone,Typhoon Iliang,"October 11-14, 1998",17°21'4.34 N,121°10'18.80 E,CAR|Nueva Ecija,Landslide (Wet),PAG-ASA disseminated flood bulletin re areas under flood alert (flooding within 24 hours) and closely monitored the status of critical river basins such as Agno and Sinolocan river; Cagayan River and Bicol River,"Flood alert in areas such as Pangasinan, Cagayan, Camarines Sur by PAG-ASA
",AFP-JOC directed the LGUs covered by the path of typhoon Iliang including Metro Manila to activate their respective evacuation centers.,169.0,"1) Armed Forces of the Philippines Disaster Response Task Force;
2) Regional Disaster Coordinating Councils","1) 2 C-130 PAF plane, 5 M-35 trucks, 5 UH IH Helicopters, 2 Bell-412 Presidential Plane, Rubber boats; 
2) 6 units portable generators, 102 units wet cell battery, 47 hand held radio, 200 pieces hard hat, 600m rope, 70 pieces snap links, 170 pieces life vests, 200 pieces flashlights; 
3) PNP: 6 units truck, 304 units jeep, 6 units motor boat;
4) AFP: 8 units truck, 5 units jeep, 2 units helicopter","

Total 2737","

Total 111","

Total 102","

Total 63","

Total 295,251","

Total 1,481,209",,,27485,65013,P692.14 M,P3189.048 M,"P198.138 M
","CAR- Total blackout; 
Region I- Total blackout;
Region II- No power in total",,"Kennon Road - Road under repair, closed to traffic; Naguilian Road; Marcos Highway",,,,,,"SND, DSWD, PNRC, DOH, NFA, RDCC",,,,"1) LGUs: 330 sacks of rice, 126 boxes of sardines, 43 boxes assorted goods;
2) NDCC/NFA: 200 sacks rice;
3) DSWD: 200 sacks rice and 99 cases assorted canned goods;
4) First Lady: 3,050 packs assorted goods;
5) ABS/CBN Foundation: 400 sacks rice;
6) PDCC: 700 sacks rice and assorted canned goods;
8) DOH: 100 boexes compact food",,,,,"P573,929.00 by DOH",,,,,,,,"National Disaster Coordinating Council. 1999. Final Report Typhoon Iliang October 11-14, 1998.",,,,1998-10-11,1998-10-14,3521ae6963744cd1a2fec4fdb778a520
376,M,Tropical Cyclone,Typhoon Seniang,"November 2-10, 2002",14° 6'2.72 N,121° 4'45.71 E,Region IV-A|NCR,"Landslide (Wet): [San Pedro,Laguna|Antipolo City|Rizal|Makati City]","Local Disaster Coordinating Councils, NDCC, AFP, MMDA, Philippine Coast Guard","Storm Signal No. 3 in Bataan, Zambales, Lubang Island;
Storm Signal No. 2 in Cavite, Pampanga, Tarlac, Pangasinan;
Storm Signal No. 1 in Mindoro Provinces, Batangas, Laguna, Metro Manila, Rizal, Quezon, Bulacan, Nueva Vizcaya, Auror, Benguet, Polillo Island, Quirino, La Union.",,335.0,,,2105,56,0,34,380890,1742250,33804,195787,5781,51354,"P366,291,186.00","P384,617,073.00","P33,939,500.00",Metro Manila- 58% of areas served by MERALCO remain without electricity,,"Bridge in San Vicente, Laur, Nueva Ecija was washed out; Slopes of Angeles-Porac-Dinalupihan road were washed out; Infanta-Famy National Road in Quezon Province was impassable due to landslide",,,"Four dams have their gates opened: Ambuklao Dam in Benguet, Binga Dam in Benguet, Magat Dam in Isabela, and Angat Dam in Bulacan.",,,"Local Disaster Coordinating Councils; rescue teams of the AFP, MMDA, and Philippine Coast Guard;",,,,,,,,,,,,,,,,,"National Disaster Coordinating Council. 2000. Typhoon Seniang November 2-10, 2000.",,,,2002-11-02,2002-11-10,8e3bb3deb3f2401d9d71bbd258a6785b
377,M,Tropical Cyclone,Typhoon Dindo (Nida),"May 13-21, 2004",13°25'15.40 N,123°24'49.22 E,Region V,"Storm Surge: [Gigmoto|Catanduanes];
Tornado: [Guimba|Nueva Ecija];
Water: [Aurora|Region 3]; 
Water: [Poro, Cebu|Pilar, Cebu|San Francisco, Cebu];
Landslide (Wet): [Cebu City| Camarines Sur| Camarines Norte| Albay]","RDCCs of Regions IV, V and VIII","State of Calamity- Camarines Sur, Camarines Norte, Albay, Sorsogon, Catanduanes, Masbate, Eastern and Northern Samar;
PSWS No. 3- Isabela, Cagayan and Batanes Group of Islands;
PSWS No. 2- Northern Aurora, Quirino, Nueva Vizcaya, Ifugao, Mt. Province, Kalinga and Apayao.
PSWS No. 1- Rest of Aurora, Nueva Ecija, Benguet, Abra, La Union, and Ilocos Provinces",,,,,,36,23,6,73247,371950,634,2986,10610,61488,"P214,686,000.00","P75,901,523.00 in Crops; P3,900.384 in Livestock; P15,922,000.00 in Fisheries","P10,844,000.00","Biliran- total power blackout;
Region V- total power blackout",,"Biliran- damaged Naval-Caibiran Cross-country Road, Culaba-Caibiran Road, Caibiran-Cabucgayan Road, Kawayan-Culaba Road;
Leyte V- cologged up canals;
Leyte-Samar Road; Bagahupi-Babatngon Road; Northern Samar- Pangpang-Palapag road, Mapanas-Gamay and Lapinig-Arteche road sections",,,,,"P4,124,403.00","DSWD, concerned LGUs, NGOs and other Gos",,,,,,,,,,,,,,,,,"National Disaster Coordinating Council. 2004. Typhoon ""Dindo"" (Nida). May 13-21, 2004.",,,,2004-05-13,2004-05-21,f91a9ed6515f46d6b24d0d7f29f4a736
378,M,Tropical Cyclone,Tropical Depression Edeng,"July 3-9, 2000",15°28'57.84 N,120°42'43.21 E,Region III,,,PSWS No. 1- Ilocos Norte and the Batanes group of Islands,,84.0,AFP Emergency Response,rescue trucks,973,18,4,11,142177,703202,7048,31209,149,403,"P632,182,000.00","P468,867,419.25",,,,,,,,,"P13,648,593.40","OCD-NDCC, NFA, AFP, RHO in NCR, RIV, RIII",,,,"2,440 sacks of rice",,,,,"P116,924.45",,,,,,,,"National Disaster Coordinating Council. 2000. Tropical Depression ""Edeng"" July 3-9, 2000.",,,,2000-07-03,2000-07-09,c2015c3efbff4e799baf35a2c338fd96
379,M,Volcanic Activity (General),Mount Pinatubo,Jun-91,15° 4'45.67 N,120°37'11.98 E,Pampanga,Lahar,,,,,,,1600,,,,422000,1.9 M,,,,,,,,,,,,,,,,"Office of the President, NDCC, DPWH, DECS, DOH, DSWD",,,,,,,,,,,,,,"PARDF and PARDC, MPC, Resettlement Program",P10 B,,Housing and Urban Development Coordinating Council. Mount Pinatubo Transition Report. 2004.,,,,1991-06-25,1991-06-25,bf6f0417dcbf4c2b91e7812870077837
380,M,Volcanic Activity (General),Mount Pinatubo,1995-2004,15° 4'45.67 N,15° 4'45.67 N,Pampanga,Lahar|Flood (General),,,,,,,,,,,,,,,,,,,,,,,,,,,,DOST-PHIVOLCS,,,,,,,,,,,,,,Lahar monitoring and mitigation by DOST-PHIVOLCS,,,PHIVOLCS. 2004. Assessment of Philvolcs on the Status of Mt. Pinatubo Volcano.,,The report does not contain any statistical data pertaining to affected population.,,1995-01-01,2004-12-31,866aa9584d0f432c93ac64c1f66c5a37
381,M,Tropical Cyclone,Monsoon Rains and Tropical Depression Quedan,"December 5-31, 2005",9°50'35.42 N,118°44'11.32 E,Region IV-B,Riverine Flood|Landslide (Wet)|Flood (General),,"State of Calamity- CARAGA, Region IV-B, Region II",,65.0,AFP,,644,26,6,16,99818,478983,5228,25289,240,1280,"P 243,206,249.00","P 1,618,740,842.58","P 305,000.00",,,"Palawan- 4 damaged bridges, 6 damaged roads;
Oriental Mindoro- 1 damaged road",,,Oriental Mindoro- damaged San Rafael river control,,"P8,777,439.00","NDCC, RDCC, NFA, PCG, AFPDRTF, DOH, DSWD, DA, DPWH, PNRC, local DCCs",,,"NFA- P1,368,000.00","NFA- 1,520 sacks of rice",,,"DSWD- P2,030,140.50",,"P1,934,715.40",,,,,,NDCC- P66 M for damaged Bukayao and del Pilar Dikes in Oriental Mindoro and P80 M for the repair of damaged infrastructures and agriculture in Region II,,"National Disaster Coordinating Council. 2005. Executive Summary on the Effects of Monsoon Rains and Td ""Quedan"" December 5-31, 2005",,,,2005-12-05,2005-12-31,d5fc81bb1bdc48efaf095079f5f1a615
382,I,Armed Conflict,Effects of Complex Emergency in Mindanao,"August 10, 2008-July 14, 2009",8°29'45.92 N,123°18'12.24 E,ARMM,,,State of Calamity- Maguindanao and Lanao del Norte,,,,,386,83,104,,110994,531949,13158,66128,202,81,"P189,315,837.00","P141,861,081.00",,,,,,,,,"P126,299,104.37","GMA Kapuso, Holcim Cement, Smart Communications;
RPDO/CBM-ARMM; ABS-CBN Sagip Kapamilya; CCF Foundation; 
Coca Cola Foundation;
Petron Corporation;
GOP-UN ACT for Peace Programme;
Save the Children Foundation;
Zabatal Fitr","PNRC and ICRC- P466,558.33;
UNICEF- P1,028,636.25; 
WFP- P14,814,742.00l
JICA; USAID- USD100,000.00",,"OCD- P9,870,625.00;
DILG- P4,650,000.00;
LGUs- P9,749,613.80;
PCSO- P4,165,500.00;
NGOs- P872,178.35",,,,"DSWD- P64,776.870.43",,"P14,500,000.00 by CHD X, FIMO DOH, Cotabato Regional Medical Center, DOH-FIMO, DOH-CHD XII, DOH-HEMS, DOH-HEMS XII, HEMS OPCEN DOH-ARMM, DOH-CARAGA, CHD X, FIMO (MINDANAO), HEMS OPCEN DOH-ARMM",,,,,,"DPWH- P7,923,000.00;
DepEd- P14,500,000.00 ","TESDA Lanao del Norte Provincial Office- P45,000.00","National Disaster Coordinating Council. 2009. IDPs in Mindanao August 10, 2008-July 14, 2009. SITREP NO. 51-70 VOLUME 3.",,The report does not mention a particular disaster attributing to the internal displacement of the population.,,2008-08-10,2009-07-14,da71f42205464c81a4fd300b3f6d6849
385,M,Bacterial Disases,Acute Gastroenteritis (AGE) Outbreak,"July 7-30, 2004",,,"San Carlos, Pangasinan",,Pangasinan LGU,State of Calamity,,,,,,47,,,,3709,,,,,,,,,,,,,,,,"RD, DOH-1, NEDA-1",,,,,,,,,,,,,,,,,,,,,2004-07-07,2004-07-30,3156597b01204424a6cd7d114075c3d2
386,M,Viral Disease,Dengue cases in Nueva Ecija,"July 1-26, 2004",,,Nueva Ecija,,Nueva Ecija LGU,,,,,,,,,,,107,,,,,,,,,,,,,,,,DOH,,,,,,,,,,,,,,,,,,,,,2004-07-01,2004-07-26,0f23f6a0e1fa4570bf3b909a302c5b18
387,I,Water,"LPG Explosion in a motorized banca 1,000 yards West of Tubbataha Reef,",2004-07-26 00:00:00,,,Palawan,,,,,,"PCG, PDCC Palawan",,,3,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004-07-26,2004-07-26,f6f4b5fe6e4443e998a46e50adf95fc4
388,I,Collapse (Industrial),Eight Storey Building (SAI Bldg) Juan Luna,2004-07-23 00:00:00,,,"Tondo, City of Manila",,"LGU of Manila, Barangay officials, PNRC, Barracom, Phil Asso of Fire Bdes, TEAM, TCAG, FEPAG, Pritil Tondo",,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004-07-23,2004-07-23,a761a78b2eb54c249824f818d875102e
389,I,Fire (Industrial),Cebu Intercom Trader Corporation Fire,2004-07-10 00:00:00,,,"Cebu City|Pagsabungan, Mandaue City",,,,,,,,,,,,,,,,,3,,,"P70,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004-07-10,2004-07-10,6f461026093d495a8420a9e19da867e2
390,I,Fire (Misc),Purok Ibatong Cambaro Fire,2004-07-11 00:00:00,,,Mandaue City,,,,,,,,,3,,,,,,,,,,,"P 90,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004-07-11,2004-07-11,edb0fd80273d43388c4c85be6a21880d
391,I,Fire (Misc),Brgy. Bagong Lipunan ng Crame,2004-07-18 00:00:00,,,Quezon City,,,,,,,,,,2,,75,,,,25,,,,,,,,,,,,"P3,000",QC Vice Mayor and Councilors,,,,"Porridges, Packs of Bread",,,,,,,,,,,,,,,,,2004-07-18,2004-07-18,0b14253ba7da40939b0a0740097b63ef
392,I,Fire (Misc),,2004-07-21 00:00:00,,,"Tondo, City of Manila",,,,,,,,,,,,20-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004-07-21,2004-07-21,5eaa3ac85e714c15895725e203723202
393,I,Fire (Misc),Agham Road Fire,2004-07-23 00:00:00,,,Quezon City,,,,,,,,,,,,,,,,20-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004-07-23,2004-07-23,637b6f29d84746c3884cdc7ae9c3cf58
394,I,Fire (Misc),St. Joseph Fire,2004-07-24 00:00:00,,,"Brgy. Sto Domingo, Cainta, Rizal",,,,,,,,,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004-07-24,2004-07-24,37a4f864af394b6c8d0226c2d4f0b498
395,I,Fire (Misc),Poblacion I Fire,2004-07-26 00:00:00,,,"Parang, Maguindanao del Norte",,,,,,,,,3,,,,,,,,,,,"P230,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004-07-26,2004-07-26,cc3d1d6061454860a75677e7dfa823c7
396,I,Fire (Industrial),Wan Chai Restaurant Fire,2004-07-29 00:00:00,,,"Banaue, Quezon",,,,,,,,,none,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004-07-29,2004-07-29,e867c4b3e0c44d97aeca80170d8a639c
397,I,Landslide (Dry),"Landslide at Km 36 and 38 of Halsema highway, Atok, Benguet",2004-07-10 00:00:00,,,"Atok, Benguet",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004-07-10,2004-07-10,7791178e98f84136b5e9556aba293079
398,I,Landslide (Dry),"Landslide at Quezon, Bukidnon",2004-07-25 00:00:00,,,"Brgy. Palacapao, Quezon, Bukidnon",,,,,,"PDCC Bukidnon, MDCC Bukidnon, 1004th PMG, 403rd Infantry Bde, 4ID, PA, 9th Infantry Bn, PA, 5th SF COY",,,1,3,,,,,,,,,,"P15,000,000.00",,,,,,,,,"PNP; PNRC Quezon, Bukidnon; DSWD Quezon, Bukidnon; DPWH Region X; OCDRC-X; PDCC Bukidnon; KARNCHO Volunteers; ABS-CBN; GMA",,,,,,,,,,,,,,,,,,,,,2004-07-25,2004-07-25,e82e401d7fe54072a2bcff852e27be4c
399,M,Flashflood,Flashflood Incidents brought about by the effects of Typhoon Igme,2004-07-12 00:00:00,,,Region III|XII,,,,,,,,58,8,11,,2915,13890,,,,,"P44,595,000.00","P20,336,964.00","P3,980,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004-07-12,2004-07-12,8431a3f38d264617ba5f295348546e0f
400,M,Flashflood,Typhoon Igme,2004-07-12 00:00:00,,,"Brgy. San Francisco, Mabalacat, Pampanga",,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004-07-12,2004-07-12,f7eae19bc99648858077434b3ae26914
401,M,Flashflood,Typhoon Igme,2004-07-12 00:00:00,,,"Brgy. Bolomala, Tupi, South Cotabato",,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004-07-12,2004-07-12,5cc8ad001b3a4738aa30929674d52d46
402,I,Tornado,"Tornado at Brgy. Buras, Tacurong City",2004-07-01 00:00:00,,,"Tacurong City, Sultan Kudarat",,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004-07-01,2004-07-01,b00a1e1a87e446cb9d20678359d9e705
403,I,Tornado,"Tornado at Brgy. Luna, Apayao",2004-07-21 00:00:00,,,"Luna, Apayao",,,,,,,,,,,,24,126,,,3,21,,,1,,,,,,,,,MDCC Luna,,,"P13,736.00",,,,,,,,,,,,,,,,,,2004-07-21,2004-07-21,dc172ea0080c47d08315e5a8d571ef69
404,I,Tornado,"Tornadao at Anao, Tarlac",2004-07-29 00:00:00,,,"Brgys. Bagindoc & Sinese & Casile, Anao, Tarlac",,,,,,,,,,,,14,72,,,6,8,,,,,,,,,,,,MDCC Anao,,,"P7,000.00",,,,,,,,,,,,,,,,,,2004-07-29,2004-07-29,c7cfb4523b2641559832a2b3b318b3df
406,M,Tropical Cyclone,TS Julian,"July 14-15, 2004",,,Batanes,,,"Batanes Group of Islands- Storm Signal No. 2;
Region 1- Storm Signal No. 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004-07-14,2004-07-15,8e22e62985a5486a816196d803a7b978
407,M,Earthquake (Ground Movement),Earthquake of 1968,1968-08-02 00:00:00,,,"Casiguran, Aurora|NCR",,,"Int II - Roxas City, Iloilo City, Tacloban City, Legaspi City, Palo, Leyte, Catbalogan, Western Samar",,,,,,270,261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,National Disaster Coordinating Council. 2003. Destructive Earthquakes CY 1968-2003.,,,,1968-08-02,1968-08-02,855f751a88dd4e3c9c9ae0f8d5c21381
408,M,Earthquake (Ground Movement),Earthquake of 1973,1973-03-03 00:00:00,,,"Ragay Gulf, Calauag, Quezon",,,,,,,,,5,,,368,1840,96,490,96,270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1973-03-03,1973-03-03,d19497aedbbb49f8b6e4aae7ef9c11b4
409,M,Earthquake (Ground Movement),Earthquake of 1976,1976-08-17 00:00:00,,,Region IX|Region XII|BARMM,,,,,,,,,3792,9240,1937,60356,362136,60356,"362, 136",,,182919,2048,61979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1976-08-17,1976-08-17,853aee02e9fd4bc2ac2c6f08598b9fd4
410,M,Earthquake (Ground Movement),Earthquake of 1983,1983-08-17 00:00:00,,,"Laoag, Ilocos Norte",,,"Magnitude - 6.5 Ms (5.3 MI on the Richter Scale)
 Depth - approximately42 km from the surface
 
 Intensity VII - Laoag City, Pasuquin-Ilocos Norte 
 IntensityVI - Vigan-Ilocos Norte
 Intensity V - Aparri-Cagayan, Santa-Ilocos Sur
 Intensity IV - Tuguegarao-Cagayan, Baguio City
 Intensity III - Dagupan City, Callao-Cagayan, Manila",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1983-08-17,1983-08-17,d9f9f9e1fcb6472fa4d2d37e9070a991
411,M,Earthquake (Ground Movement), Luzon Earthquake of 1990 (Baguio City),1990-07-16 00:00:00,,,Luzon,,,"Int VIII, VII - Whole Northern and Central Luzon coverings Regs I, II, III and part of Southern Luzon to include Metro Manila (23 provs, 13 citites, 231 muns and 18,337 brgys)",,,,,,1283,2786,321,227918,1255249,29258,146290,25207,77249,6845,1425.26,3954.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990-07-16,1990-07-16,fef22ba90ce249c8998a26b6847910e5
412,M,Earthquake (Ground Movement),Bohol Earthquake of 1990,1990-02-08 00:00:00,,,Bohol,,,"Int VIII - in the towns of Jagna, Duero and Guindulman.
 Intensity VII - Garcia Hernandez, Loboc, Valencia and Anda
 Intensity VI - Tagbilaran City, the rest among the 16 municipalities of Bohol and the neighboring islands of Cebu and Camiguin
 Intensity V - felt over areas of Cagayan de Oro in Mindanao, Dumaguete City in Negros
 Intentsity IV - areas of Canlaon in Negros and Cotabato City in Mindanao
 Intensities I to III - felt as far as Palo, Leyte and Bislig, Surigao",,,,,,,200,,7000,46000,,,182,3000,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990-02-08,1990-02-08,54380aed93ad402aabea3da7984f21d2
413,M,Earthquake (Ground Movement),Panay Earthquake of 1990,1990-06-14 00:00:00,,,Aklan|Iloilo|Antique|Capiz,,,"Aklan
 Intensity VI - Balete, Kalibo, Madalag, Numancia, Altavas and Makato in Aklan; Sigma and Cuartero in Capiz, and Calinog in Iloilo
 Intensity V - Northern part of Negros Island
 Intensity IV - Romblon and the rest of Negros Island
 Intensity III - Cebu City; Taal; Mayon; Palo, Leyte
 Intensity II - Cagayan De Oro and Camiguin Island",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990-06-14,1990-06-14,ac2c209d6db0426999dd373aa32a0752
414,M,Earthquake (Ground Movement),Earthquake of 1994,1994-11-15 00:00:00,,,Oriental Mindoro,,,7.1 magnitude,,,,,,83,430,8,22452,134712,7566,37830,1530,6036,447.631,65.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1994-11-15,1994-11-15,10afe21b4ab34e82b9f509d66cbe3cb5
415,M,Earthquake (Ground Movement),Earthquake of 1999,1999-12-12 00:00:00,,,Region 1|NCR,,,"Intensity VI - Manila, Clark Airbase; Pampanga, San Fernando, La Union, Olongapo City, Masinloc and Iba, Zambales 
 Intensity V - Q, City, Dagupan, Pasig and Taguig Cities 
 Intensity IV - Cities of Baguio, Tagaytay, and Palayan; Lucban, Quezon; Malolos and San Jose, Bulacan; Sto Domingo, Nueva Ecija
 Intensity III - Malolos, Bulacan & Sta. Ilocos Sur
 Intensity II - Pasuquin, Ilocos Norte; Guinayangan, Quezon
 Intensity I - Tuguegarao, Cagayan",,,,,,6,40,,87,356,,,,49,333.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999-12-12,1999-12-12,be44dea14868447e8bc19a8b0e1bc328
416,M,Earthquake (Ground Movement),Earthquake of 2000,2000-07-28 00:00:00,,,Batanes,,,,,,,,,,14,,2026,8992,214,1070,214,404,10.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000-07-28,2000-07-28,4d64e137eacf4c95abc24505d5ec3573
417,M,Earthquake (Ground Movement),Earthquake of 2002,2002-03-06 00:00:00,,,South Cotabato|Sultan Kudarat|Sarangani|Davao del Sur,,,"Intensity VII - Koronadal City, South Cotabato
 Intensity VI - General Santos City 
 Intensity V - Cotabato City",,,,,,8,39,,8619,40073,,,133,679,87.322,37.549,8.119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002-03-06,2002-03-06,1e2f121d2cda4ae1a0ed8fe39ab076b6
418,M,Earthquake (Ground Movement),Earthquake of 2003,2003-02-15 00:00:00,,,Masbate,,,"Intensity VII to II - felt all over the island of Masbate including nearby provinces of Bicol, Leyte, Panay, Cebu, Negros and Romblon",,,,,,,,,,,,,,,9.061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-02-15,2003-02-15,ab98da9eca17440c94ddab12759fb2d5
419,M,Earthquake (Ground Movement),Earthquake of 2003,2003-11-19 00:00:00,,,Eastern Samar,,,"Intensity VI - Boronga, Eastern Samar
 Intensity V - Catbalogan, Samar
 Intensity IV - Dimasalang, Masbate, and Palo, Leyte
 Intensity II - Lapu-Lapu City, Surigao City and Legaspi City.",,,,,,1,26,,1072,5531,10,80,10,1062,21.6,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-11-19,2003-11-19,7b76aed98cc448a5aa67b1e3ce7e69d9
